+2.6415608175648394e-03 +1.0000000000000000e+00 -1.1017883398744646e-04 -1.1182737569284757e-04
+9.8584391824351608e-03 +1.0000000000000000e+00 -4.1522788923386021e-04 -4.1709776589948767e-04

+1.5141560817564841e-02 +1.0000000000000000e+00 -6.3830692093987172e-04 -6.4006306432765579e-04
+2.2358439182435162e-02 +1.0000000000000000e+00 -9.4132700470919858e-04 -9.4345136106596618e-04

+2.7641560817564838e-02 +1.0000000000000000e+00 -1.1624996334661131e-03 -1.1643525513283168e-03
+3.4858439182435162e-02 +1.0000000000000000e+00 -1.4616225261775101e-03 -1.4639882648620566e-03

+4.0141560817564842e-02 +1.0000000000000000e+00 -1.6795251491816795e-03 -1.6814634176635227e-03
+4.7358439182435159e-02 +1.0000000000000000e+00 -1.9729066587331236e-03 -1.9754991941797768e-03

+5.2641560817564839e-02 +1.0000000000000000e+00 -2.1861958338537536e-03 -2.1882075028855099e-03
+5.9858439182435164e-02 +1.0000000000000000e+00 -2.4720271656796123e-03 -2.4748305140452351e-03

+6.5141560817564836e-02 +1.0000000000000000e+00 -2.6793878942262331e-03 -2.6814605611993774e-03
+7.2358439182435175e-02 +1.0000000000000000e+00 -2.9559068031172354e-03 -2.9589036808269501e-03

+7.7641560817564848e-02 +1.0000000000000000e+00 -3.1560606372439196e-03 -3.1581815234773274e-03
+8.4858439182435158e-02 +1.0000000000000000e+00 -3.4215622921748836e-03 -3.4247342224810453e-03

+9.0141560817564845e-02 +1.0000000000000000e+00 -3.6132752169363395e-03 -3.6154312464611138e-03
+9.7358439182435169e-02 +1.0000000000000000e+00 -3.8661227119163623e-03 -3.8694501388138488e-03

+1.0264156081756484e-01 +1.0000000000000000e+00 -4.0482127533804186e-03 -4.0503906335575763e-03
+1.0985843918243517e-01 +1.0000000000000000e+00 -4.2868471995226127e-03 -4.2903096083181259e-03

+1.1514156081756484e-01 +1.0000000000000000e+00 -4.4581917120325538e-03 -4.4603780155065961e-03
+1.2235843918243516e-01 +1.0000000000000000e+00 -4.6811418486224516e-03 -4.6847178924144042e-03

+1.2764156081756484e-01 +1.0000000000000000e+00 -4.8406844362808227e-03 -4.8428656837638190e-03
+1.3485843918243517e-01 +1.0000000000000000e+00 -5.0465757015879112e-03 -5.0502433328771688e-03

+1.4014156081756485e-01 +1.0000000000000000e+00 -5.1933327312885056e-03 -5.1954954746643777e-03
+1.4735843918243519e-01 +1.0000000000000000e+00 -5.3808957371963666e-03 -5.3846323438164201e-03

+1.5264156081756486e-01 +1.0000000000000000e+00 -5.5139624030494140e-03 -5.5160933082860691e-03
+1.5985843918243517e-01 +1.0000000000000000e+00 -5.6820407612555987e-03 -5.6858233057840877e-03

+1.6514156081756487e-01 +1.0000000000000000e+00 -5.8005966630169667e-03 -5.8026825923750153e-03
+1.7235843918243515e-01 +1.0000000000000000e+00 -5.9481541145514072e-03 -5.9519592763434869e-03

+1.7764156081756483e-01 +1.0000000000000000e+00 -6.0514683156628881e-03 -6.0534964086942002e-03
+1.8485843918243516e-01 +1.0000000000000000e+00 -6.1775951197690438e-03 -6.1813994387369259e-03

+1.9014156081756484e-01 +1.0000000000000000e+00 -6.2650306538253372e-03 -6.2669884066619630e-03
+1.9735843918243517e-01 +1.0000000000000000e+00 -6.3689491968144741e-03 -6.3727292180666530e-03

+2.0264156081756485e-01 +1.0000000000000000e+00 -6.4399669946728529e-03 -6.4418423371175350e-03
+2.0985843918243519e-01 +1.0000000000000000e+00 -6.5210365841710215e-03 -6.5247690026194920e-03

+2.1514156081756486e-01 +1.0000000000000000e+00 -6.5751987974918677e-03 -6.5769801674348269e-03
